name,mrp,discountpercent
Dukes Waffy Chocolate Wafers,45,51
Dukes Waffy Orange Wafers,45,51
Dukes Waffy Strawberry Wafers,45,51
Chef's Basket Durum Wheat Elbow Pasta,160,50
Chef's Basket Durum Wheat Fusilli Pasta,160,50
Ceres Foods Fish Mustard Instant Liquid Masala,220,50
Ceres Foods Laal Maas Instant Liquid Masala,220,50
Ceres Foods Nalli Nihari Instant Liquid Masala,220,50
Chef's Basket Durum Wheat Penne Pasta,160,50
Chef's Basket Durum Wheat Elbow Pasta,160,50
Chef's Basket Durum Wheat Fusilli Pasta,160,50
Ceres Foods Fish Mustard Instant Liquid Masala,220,50
Ceres Foods Laal Maas Instant Liquid Masala,220,50
Ceres Foods Nalli Nihari Instant Liquid Masala,220,50
Chef's Basket Durum Wheat Penne Pasta,160,50
RRO Sour Cream,275,50
RRO Cheddar Block Cheese,295,50
RRO Fresh Ricotta,275,50
RRO Mozzarella Pizza Cheese,275,50
RRO Burrata Cheese,250,50
RRO Mascarpone Cheese,355,50
RRO Mozzarella Block Cheese,295,50
RRO Sour Cream,275,50
RRO Cheddar Block Cheese,295,50
RRO Fresh Ricotta,275,50
RRO Mozzarella Pizza Cheese,275,50
RRO Burrata Cheese,250,50
RRO Mascarpone Cheese,355,50
RRO Mozzarella Block Cheese,295,50
Chef's Basket Durum Wheat Elbow Pasta,160,50
Chef's Basket Durum Wheat Fusilli Pasta,160,50
Moi Soi Sichuan Chilli Oil- For Stir Fry Marinade Spread & Dip,280,50
Moi Soi Kung Pao Sauce - For Stir Fry Marinade Spread & Dip,280,50
Moi Soi  Black Bean Sauce - Dip Spread Stir Fry & Marinade,280,50
Moi Soi Manchurian Sauce - For Stir Fry Marinade Spread & Dip,280,50
Chef's Basket Durum Wheat Penne Pasta,160,50
Chef's Basket Durum Wheat Elbow Pasta,160,50
Chef's Basket Durum Wheat Fusilli Pasta,160,50
Moi Soi Sichuan Chilli Oil- For Stir Fry Marinade Spread & Dip,280,50
Moi Soi Kung Pao Sauce - For Stir Fry Marinade Spread & Dip,280,50
Moi Soi  Black Bean Sauce - Dip Spread Stir Fry & Marinade,280,50
Moi Soi Manchurian Sauce - For Stir Fry Marinade Spread & Dip,280,50
Chef's Basket Durum Wheat Penne Pasta,160,50
Chef's Basket Durum Wheat Elbow Pasta,160,50
Chef's Basket Durum Wheat Fusilli Pasta,160,50
Moi Soi Sichuan Chilli Oil- For Stir Fry Marinade Spread & Dip,280,50
Moi Soi Kung Pao Sauce - For Stir Fry Marinade Spread & Dip,280,50
Moi Soi  Black Bean Sauce - Dip Spread Stir Fry & Marinade,280,50
Moi Soi Manchurian Sauce - For Stir Fry Marinade Spread & Dip,280,50
Chef's Basket Durum Wheat Penne Pasta,160,50
Ceres Foods Fish Mustard Instant Liquid Masala,220,50
Ceres Foods Laal Maas Instant Liquid Masala,220,50
Ceres Foods Nalli Nihari Instant Liquid Masala,220,50
Dukes Waffy Strawberry Roll,150,50
Dukes Waffy Chocolate Wafer Rolls ,150,50
Epigamia Fruit Yogurt Alphonso Mango,40,50
Epigamia Fruit Yogurt Vanilla,40,50
Epigamia Fruit Yogurt Strawberry,40,50
Wingreens Cheesy Chipotle Sauce,99,49
Wingreens Cheesy Chipotle Sauce,99,49
Wingreens Cheesy Chipotle Sauce,99,49
Borges Extra Light Olive Oil Bottle ,2600,46
Borges Extra Light Olive Oil Bottle ,2600,46
Pampers Pants - Large,1549,45
Pampers Pants - Large,1549,45
Suguna Fit Egg,120,43
Suguna Fit Egg,120,43
TGFC Tilapia Curry Cut,259,43
Suguna Fit Egg,120,43
Borges Durum Wheat Pasta Superior Quality,250,40
Sugarlite 50% Less Calories Sugar Pouch,99,40
Borges Durum Wheat Pasta Superior Quality,250,40
Sugarlite 50% Less Calories Sugar Pouch,99,40
Kelloggs Chocos - Moons & Stars,660,40
Borges Durum Wheat Pasta Superior Quality,250,40
Kelloggs Chocos - Moons & Stars,660,40
Borges Durum Wheat Pasta Superior Quality,250,40
Kelloggs Chocos - Moons & Stars,660,40
Borges Durum Wheat Pasta Superior Quality,250,40
Clove Sensitive Toothpaste with Anti-Sensitivity & Fluoride Formulation,160,35
Clove Sensitive Toothpaste with Anti-Sensitivity & Fluoride Formulation,160,35
Epigamia Almond Milk Unsweetened Dairy Free,300,33
Epigamia Almond Milk Unsweetened Dairy Free,300,33
Popular Essentials Californian Almond,695,32
Popular Essentials Californian Almond,695,32
RRO Goat Milk Fetta Cheee,345,31
RRO Goat Milk Fetta Cheee,345,31
Aashirvaad Breakfast Instant Mix - Rice Idli,75,30
Aashirvaad Instant Mix - Rice Dosa,75,30
ITC Master Chef Hyderabadi Biryani,75,30
ITC Master Chef Butter Chicken,75,30
Kitchens of India Dal Bukhara Gravy Mix,110,30
ITC Master Chef Vegetable Biryani Cooking Paste,75,30
Kitchens of India Mutter Paneer Mix,120,30
Aashirvaad Breakfast Instant Mix - Rice Idli,75,30
Aashirvaad Instant Mix - Rice Dosa,75,30
ITC Master Chef Hyderabadi Biryani,75,30
ITC Master Chef Butter Chicken,75,30
