Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,price_per_kg,total_revenue,discountValue
Fruits & Vegetables,Onion,2500,16,3,2100,1000,False,1,2100.0,6300,400
Fruits & Vegetables,Tomato Hybrid,4200,16,3,3500,1000,False,1,3500.0,10500,700
Fruits & Vegetables,Tender Coconut,5100,15,3,4300,58,False,1,74137.93103448277,12900,800
Fruits & Vegetables,Coriander Leaves,2000,15,3,1700,100,False,100,17000.0,5100,300
Fruits & Vegetables,Ladies Finger ,1400,14,3,1200,250,False,250,4800.0,3600,200
Fruits & Vegetables,Potato,3500,17,3,2900,1000,False,1,2900.0,8700,600
Fruits & Vegetables,Lemon,7500,16,3,6300,200,False,200,31500.0,18900,1200
Fruits & Vegetables,Watermelon ,5800,15,3,4900,58,False,1,84482.75862068965,14700,900
Fruits & Vegetables,Capsicum Green ,2300,17,3,1900,250,False,250,7600.0,5700,400
Fruits & Vegetables,Chilli Green ,1900,15,3,1600,100,False,100,16000.0,4800,300
Fruits & Vegetables,Banana Robusta,2900,17,3,2400,348,False,6,6896.55172413793,7200,500
Fruits & Vegetables,Garlic Indian ,1100,18,3,900,100,False,100,9000.0,2700,200
Fruits & Vegetables,Cauliflower,2600,15,3,2200,58,False,1,37931.034482758616,6600,400
Fruits & Vegetables,Ginger,1400,14,3,1200,200,False,200,6000.0,3600,200
Fruits & Vegetables,Spinach,1900,15,3,1600,250,False,250,6400.0,4800,300
Fruits & Vegetables,Muskmelon,4200,16,3,3500,58,False,1,60344.8275862069,10500,700
Fruits & Vegetables,Cabbage ,1500,13,3,1300,58,False,1,22413.79310344828,3900,200
Fruits & Vegetables,Methi,3000,16,3,2500,250,False,250,10000.0,7500,500
Fruits & Vegetables,Broccoli,3600,16,3,3000,500,False,500,6000.0,9000,600
Fruits & Vegetables,Sapota,3000,16,3,2500,348,False,6,7183.908045977011,7500,500
Fruits & Vegetables,Onion,6800,16,3,5700,3000,False,3,1900.0,17100,1100
Fruits & Vegetables,Potato,10000,16,3,8400,3000,False,3,2800.0,25200,1600
Fruits & Vegetables,Orange Nagpur,8200,15,3,6900,232,False,4,29741.37931034483,20700,1300
Fruits & Vegetables,Mint Leaves ,1100,18,3,900,100,False,100,9000.0,2700,200
Fruits & Vegetables,Beans French,3300,15,3,2800,250,False,250,11200.0,8400,500
Fruits & Vegetables,Bottle Gourd ,2600,15,3,2200,58,False,1,37931.034482758616,6600,400
Fruits & Vegetables,Banana Elaichi ,5800,15,3,4900,348,False,6,14080.459770114941,14700,900
Fruits & Vegetables,Coconut Big,3600,16,3,3000,58,False,1,51724.137931034486,9000,600
Fruits & Vegetables,Curry Leaves,1300,15,3,1100,50,False,50,22000.0,3300,200
Fruits & Vegetables,Brinjal Bharta,1900,15,3,1600,58,False,1,27586.20689655172,4800,300
Fruits & Vegetables,Lettuce Iceberg,2500,16,3,2100,250,False,250,8400.0,6300,400
Fruits & Vegetables,Papaya,5400,16,3,4500,58,False,1,77586.20689655172,13500,900
Fruits & Vegetables,Apple Shimla,14200,16,3,11900,232,False,4,51293.10344827586,35700,2300
Fruits & Vegetables,Bitter Gourd,1800,16,3,1500,250,False,250,6000.0,4500,300
Fruits & Vegetables,Brinjal Small,1800,16,3,1500,250,False,250,6000.0,4500,300
Fruits & Vegetables,Sweet Corn,3600,16,3,3000,116,False,2,25862.068965517243,9000,600
Fruits & Vegetables,Spring Onion ,1800,16,3,1500,250,False,250,6000.0,4500,300
Fruits & Vegetables,Bell Peppers Red & Yellow ,11800,16,3,9900,116,False,2,85344.82758620688,29700,1900
Fruits & Vegetables,Pomegranate ,10600,16,3,8900,116,False,2,76724.13793103448,26700,1700
Fruits & Vegetables,Sweet Lime,3000,16,3,2500,116,False,2,21551.724137931036,7500,500
Fruits & Vegetables,Baby Potato,1900,15,3,1600,500,False,500,3200.0,4800,300
Fruits & Vegetables,Coccinia,3200,15,3,2700,250,False,250,10800.0,8100,500
Fruits & Vegetables,Guava,5400,16,3,4500,232,False,4,19396.55172413793,13500,900
Fruits & Vegetables,Apple Washington,17700,15,3,14900,232,False,4,64224.13793103448,44700,2800
